"id","name"
"758","Mary"
"759","Joseph"
"760","Rotkäppchen"
"761","Odin"
"762","Loki"
"763","Hephaistos"
"764","Lyndon B. Johnson"
"765","Lee Harvey Oswald"
"766","Robinson Crusoe"
"767","Blackbeard"
"768","Prometheus"
"769","Jonah Hex"
"770","Barack Obama"
"771","Lisbeth Salander"
"772","J. Edgar Hoover"
"773","John Dillinger"
"774","Lydia Bennet"
"775","Kitty Bennet"
"776","Mr. Bingley"
"777","Allan Quatermain"
"778","Dr. Jekyll"
"779","Dr. Hannibal Lecter"
"780","Calamity Jane"
"781","Wild Bill Hickok"
"782","Medusa"
"783","Ulysses S. Grant"
"784","Karl Marx"
"785","Judas"
"786","Ebenezer Scrooge"
"787","Samson"
"788","Delilah"
"789","Doc Holliday"
"790","Wyatt Earp"
"791","Anna Karenina"
"792","Dr. John Dolittle"
"793","Tsatsiki"
"794","Quasimodo"
"795","Marilyn Monroe"
"796","Romeo"
"797","Juliet"
"798","Aladdin"
"799","Rapunzel"
"800","Captain Ahab"
"801","Grigori Rasputin"
"802","Genghis Khan"
"803","Clyde Barrow"
"804","Bonnie Parker"
"805","Jane Eyre"
"806","Maigret"
"807","Charlie Chan"
"808","Charles Manson"
"809","Doctor Who"
"810","Martin Luther King Jr."
"811","Rosa Parks"
"812","Uther Pendragon"
"813","Nimue"
"814","Achilles"
"815","Andromache"
"816","Darkseid"
"817","Martian Manhunter"
"818","Flik"
"819","Lightning McQueen"
"820","Buzz Lightyear"
"821","Fred Jones"
"822","Daphne Blake"
"823","Velma Dinkley"
"824","Scooby-Doo"
"825","Shaggy"
"826","Mojo Jojo"
"827","SpongeBob SquarePants"
"828","Patrick Star"
"829","Sandy Cheeks"
"830","Mr. Krabs"
"831","Squidward Tentacles"
"832","Plankton"
"833","Rey"
"834","Kylo Ren"
"835","Poe Dameron"
"836","Supreme Leader Snoke"
"837","Maz Kanata"
"838","Finn"
"839","Admiral Ackbar"
"840","Lando Calrissian"
"841","Boba Fett"
"842","Count Dooku"
"843","General Grievous"
"844","Mace Windu"
"845","Padmé Amidala"
"846","Watto"
"847","Shmi Skywalker"
"848","Jar Jar Binks"
"849","Qui-Gon Jinn"
"850","Darth Maul"
"851","Ahsoka Tano"
"852","Aayla Secura"
"853","Aayla Secura"
"854","Lobo"
"855","Shredder"
"856","Baxter Stockman"
"857","Splinter"
"858","Casey Jones"
"859","Bucky the Squirrel"
"860","Chicha"
"861","Kuzco"
"862","Pacha"
"863","Kronk"
"864","Yzma"
"865","Mushu"
"866","Mulan"
"867","Erik Selvig"
"868","Jane Foster"
"869","Nick Fury"
"870","Clint Barton / Hawkeye"
"871","Matt Murdock / Daredevil"
"872","Elektra Natchios"
"873","Wilson Fisk / The Kingpin"
"874","Invader Zim"
"875","Dib Membrane"
"876","Gaz Membrane"
"877","Professor Membrane"
"878","Shrek"
"879","Donkey"
"880","Princess Fiona"
"881","Lord Farquaad"
"882","Gingerbread Man"
"883","Queen Lillian"
"884","King Harold"
"885","Puss in Boots"
"886","Rumpelstiltskin"
"887","Goku"
"888","Master Roshi"
"889","Bulma"
"890","Yamcha"
"891","Chi Chi"
"892","Piccolo"
"893","Vegeta"
"894","Frieza"
"895","Krillin"
"896","Whis"
"897","Steppenwolf"
"899","Sheriff Woody"
"900","Morpheus"
"901","Trinity"
"902","Agent Smith"
"903","The Oracle"
"904","Tauriel"
"905","Thranduil"
"906","Smaug"
"907","Radagast"
"908","Thorin Oakenshield"
"909","Majin Buu"
"910","Liu Kang"
"911","Johnny Cage"
"912","Shang Tsung"
"913","Sonya Blade"
"914","Shao Kahn"
"915","Goro"
"916","Reptile"
"917","Kano"
"918","Scorpion"
"919","Shinnok"
"920","Raiden"
"921","Kitana"
"922","Jimmy Neutron"
"923","Carl Wheezer"
"924","Sheen Estevez"
"925","Goddard"
"926","Hugh Neutron"
"927","Cindy Vortex"
"928","Libby Folfax"
"929","Nick Dean"
"930","Judy Neutron"
"931","King Goobot"
"932","Ooblar"
"933","Blossom"
"934","Bubbles"
"935","Buttercup"
"936","Professor Utonium"
"937","Whitey Duvall"
"938","Ten Second Tom"
"939","Farmer Fran"
"940","Osmosis Jones"
"941","Drix"
"942","Howard the Duck"
"943","Gamora"
"944","Groot"
"945","Peter Quill / Star Lord"
"946","Drax"
"947","Yondu Udonta"
"948","Nebula"
"949","Rocket"
"950","Ronan"
"951","Korath"
"952","The Collector"
"953","Karai"
"954","Yakko Warner"
"955","Wakko Warner"
"956","Dot Warner"
"957","Bob the Tomato"
"958","Larry the Cucumber"
"959","Junior Asparagus"
"960","Jenny Wakeman"
"961","Leonard Helperman"
"962","Sheldon Lee"
"963","Dr. Wakeman"
"964","Tuck Carbunkle"
"965","Brad Carbunkle"
"966","Queen Vexus"
"967","Oscar the Sharkslayer"
"968","Lenny Lino"
"969","Ernie the Jellyfish"
"970","Bernie the Jellyfish"
"971","Don Edward Lino"
"972","Mr. Sykes"
"973","Angie"
"974","Mrs. Sanchez"
"975","Fennec Shand"
"976","The Mandalorian"
"977","Strong Bad"
"978","Homestar Runner"
"979","Marzipan"
"980","Pom Pom"
"981","The King of Town"
"982","Coach Z"
"983","Strong Sad"
"984","Strong Mad"
"985","The Cheat"
"986","Bubs"
"987","Homsar"
"988","Sunny Jim"
"989","Broly"
"990","Scrappy-Doo"
"991","Neo"
"992","Niobe"
"993","Sonic the Hedgehog"
"994","Dr. Eggman"
"995","Amy Rose"
"996","Miles \"Tails\" Prower"
"997","Knuckles the Echidna"
"998","Shadow the Hedgehog"
"999","Elsa"
"1000","J. Jonah Jameson"
"1001","Doctor Octopus"
"1002","Electro"
"1003","Doctor Strange"
"1004","The Merovingian"
"1005","Persephone"
"1006","The Keymaker"
"1007","The Trainman"
"1008","Sparks"
"1009","Alicia Masters"
"1010","Norrin Radd / Silver Surfer"
"1011","Al Simmons / Spawn"
"1012","Eliza Thornberry"
"1013","Karen Plankton"
"1014","Pearl Krabs"
"1015","Norman Osborn / Green Goblin"
"1016","Harry Osborn"
"1017","Adrian Toomes / Vulture"
"1018","Herman Schultz / Shocker"
"1019","Mac Gargan / Scorpion"
"1020","Quentin Beck / Mysterio"
"1021","Felicia Hardy / Black Cat"
"1022","Cletus Kasady / Carnage"
"1023","Eddie Brock / Venom"
"1024","Hal Jordan / Green Lantern"
"1025","Hellboy"
"1026","Jax"
"1027","Alien"
"1028","Rachel Dawes"
"1029","Kraven the Hunter"
"1030","Betty Brant"
"1031","Flash Thompson"
"1032","Jack Skellington"
"1033","Oogie Boogie"
"1034","Dr. Curt Connors / Lizard"
"1035","Cassie Cage"
"1036","Mileena"
"1037","Baraka"
"1038","Noob Saibot"
"1039","Mera"
"1040","Silas Stone"
"1041","Heimlich"
"1042","Beast Boy"
"1043","Starfire"
"1044","Mavis Dracula"
"1045","Sora"
"1046","Ventus"
"1047","Mike Wazowski"
"1048","Terra"
"1049","Aqua"
"1050","Sephiroth"
"1051","Maleficent"
"1052","Jafar"
"1053","Sly Cooper"
"1054","Carmelita Fox"
"1055","Dimitri Lousteau"
"1056","Bentley the Turtle"
"1057","Clank"
"1058","Captain Qwark"
"1059","Ratchet"
"1060","Dr. Nefarious"
"1061","Chairman Drek"
"1062","Angela Cross"
"1063","Slim Cognito"
"1064","Leatherface"
"1065","Crash Bandicoot"
"1066","Dr. Neo Cortex"
"1067","Tyler Durden"
"1068","Jason Voorhees"
"1069","Kratos"
"1070","Spyro the Dragon"
"1071","Grinch"
"1072","Bolivar Trask"
"1073","Globox"
"1074","Rayman"
"1075","Rhino"
"1076","Roxas"
"1077","Austin Powers"
"1078","Dr. Evil"
"1079","The Master"
"1080","Philip J. Fry"
"1081","Alfred von Wessex"
"1082","Ealhswith"
"1083","Guthrum"
"1084","King Guthred"
"1085","Sheriff of Nottingham"
"1086","Gen. Robert E. Lee"
"1087","River Song"
"1088","Miles Morales / Spider-Man"
"1089","Mowgli"
"1090","Pontius Pilate"
"1091","Romana"
"1092","Victor Zsasz"
"1093","Lilith"
"1094","George S. Patton Jr."
"1095","Shazam"
"1096","Gorilla Grodd"
"1097","Geralt of Rivia"
"1098","Cirilla Fiona Elen Riannon"
"1099","Adam"
"1100","Commodus"
"1101","Rassilon"
"1102","Agrippina"
"1103","Caligula"
"1104","Chester W. Nimitz"
"1105","James Doolittle"
"1106","Clarice Starling"
"1107","Gretel"
"1108","Hansel"
"1109","Sandman / Flint Marko"
"1110","Mr. Ditkovitch"
"1111","Blade"
"1112","Kangaroo Jack"
"1113","Mr. Zurkon"
"1114","Gnasty Gnorc"
"1115","Ripto"
"1116","Aku Aku"
"1117","Uka Uka"
"1118","Coco Bandicoot"
"1119","Cynder"
"1120","Sparx the Dragonfly"
"1121","Negan"
"1122","Jeff the Spider"
"1123","Professor Pyg"
"1124","Rick Flag"
"1125","Captain Boomerang"
"1126","Peacemaker"
"1127","King Shark"
"1128","Hugo Strange"
"1129","Aaron Cash"
"1130","Black Mask"
"1131","Zatanna"
"1132","Mufasa"
"1133","Simba"
